Rk;Jogador;Equipe;Minutos jogados;Taxa de acerto total;Pontos de 3 convertidos;Pontos de 3 tentados;Taxa de acerto de 3 pontos;Rebotes;Assistencias;Pontos por jogo
93;Bojan Bogdanović;DET;32.9;.468;3.1;7.4;.415;3.4;2.5;20.2
93;Bojan Bogdanović;NYK;19.2;.430;1.6;4.4;.370;2.0;0.9;10.4
94;Keegan Murray;SAC;33.6;.454;2.4;6.6;.358;5.5;1.7;15.2
95;Derrick White;BOS;32.6;.461;2.7;6.8;.396;4.2;5.2;15.2
96;John Collins;UTA;28.0;.532;1.3;3.4;.371;8.5;1.1;15.1
97;Khris Middleton;MIL;27.0;.493;1.7;4.5;.381;4.7;5.3;15.1
98;Trey Murphy III;NOP;29.6;.443;3.0;7.8;.380;4.9;2.2;14.8
99;OG Anunoby;2TM;34.0;.489;2.0;5.3;.382;4.2;2.1;14.7
99;OG Anunoby;TOR;33.3;.489;2.3;6.0;.374;3.9;2.7;15.1
99;OG Anunoby;NYK;34.9;.488;1.8;4.5;.394;4.4;1.5;14.1
100;Deni Avdija;WAS;30.1;.506;1.2;3.1;.374;7.2;3.8;14.7
101;GG Jackson II;MEM;25.7;.428;2.1;6.0;.357;4.1;1.2;14.6
102;Bennedict Mathurin;IND;26.1;.446;1.4;3.6;.374;4.0;2.0;14.5
103;Marcus Smart;MEM;30.3;.430;2.1;6.7;.313;2.7;4.3;14.5
104;Tim Hardaway Jr.;DAL;26.8;.402;2.7;7.6;.353;3.2;1.8;14.4
105;Dennis Schröder;2TM;31.1;.435;1.7;4.6;.375;3.0;6.1;14.0
105;Dennis Schröder;TOR;30.6;.442;1.5;4.3;.350;2.7;6.1;13.7
105;Dennis Schröder;BRK;32.0;.424;2.1;5.1;.412;3.5;6.0;14.6
106;Rudy Gobert;MIN;34.1;.661;0.0;0.0;.000;12.9;1.3;14.0
107;Scoot Henderson;POR;28.5;.385;1.4;4.3;.325;3.1;5.4;14.0
108;Caris LeVert;CLE;28.8;.421;1.6;4.9;.325;4.1;5.1;14.0
109;Aaron Gordon;DEN;31.5;.556;0.5;1.9;.290;6.5;3.5;13.9
110;Norman Powell;LAC;26.2;.486;2.2;5.1;.435;2.6;1.1;13.9
111;Jalen Duren;DET;29.1;.619;0.0;0.1;.000;11.6;2.4;13.8
112;Bobby Portis;MIL;24.5;.508;1.2;3.0;.407;7.4;1.3;13.8
113;Saddiq Bey;ATL;32.7;.416;1.8;5.7;.316;6.5;1.5;13.7
114;Jabari Smith Jr.;HOU;31.9;.454;1.8;5.0;.363;8.1;1.6;13.7
115;Gary Trent Jr.;TOR;28.1;.426;2.5;6.4;.393;2.6;1.7;13.7
116;Rui Hachimura;LAL;26.9;.537;1.4;3.4;.422;4.3;1.2;13.6
117;Grayson Allen;PHO;33.5;.499;2.7;5.9;.461;3.9;3.0;13.5
118;Naz Reid;MIN;24.2;.477;2.1;5.0;.414;5.2;1.3;13.5
119;Cameron Johnson;BRK;27.6;.446;2.4;6.1;.391;4.3;2.4;13.4
120;Corey Kispert;WAS;25.8;.486;2.3;6.0;.383;2.8;2.0;13.4
121;Andrew Wiggins;GSW;27.0;.453;1.3;3.6;.358;4.5;1.7;13.2
122;Keyonte George;UTA;27.0;.391;2.0;5.9;.334;2.8;4.4;13.0
123;P.J. Washington;2TM;30.4;.436;1.8;5.7;.320;5.6;1.9;12.9
123;P.J. Washington;CHO;29.2;.446;1.8;5.5;.324;5.3;2.2;13.6
123;P.J. Washington;DAL;32.2;.421;1.8;5.8;.314;6.2;1.5;11.7
124;Scotty Pippen Jr.;MEM;25.1;.493;1.4;3.4;.417;3.2;4.7;12.9
125;Duncan Robinson;MIA;28.0;.450;2.8;7.0;.395;2.5;2.8;12.9
126;Dillon Brooks;HOU;30.9;.428;1.8;5.1;.359;3.4;1.7;12.7
127;Mark Williams;CHO;26.7;.649;0.0;0.0;;9.7;1.2;12.7
128;Jalen Suggs;ORL;27.0;.471;2.0;5.1;.397;3.1;2.7;12.6
129;Jrue Holiday;BOS;32.8;.480;2.0;4.7;.429;5.4;4.8;12.5
130;Brook Lopez;MIL;30.5;.485;1.9;5.1;.366;5.2;1.6;12.5
131;Josh Giddey;OKC;25.1;.475;1.0;3.0;.337;6.4;4.8;12.3
132;Cam Whitmore;HOU;18.7;.454;1.7;4.7;.359;3.8;0.7;12.3
133;Harrison Barnes;SAC;29.0;.474;1.8;4.7;.387;3.0;1.2;12.2
134;Ayo Dosunmu;CHI;29.1;.501;1.6;3.9;.403;2.8;3.2;12.2
135;Javonte Green;CHI;25.6;.600;1.1;3.0;.370;7.4;0.6;12.2
136;Aaron Nesmith;IND;27.7;.496;1.9;4.6;.419;3.8;1.5;12.2
137;Max Strus;CLE;32.0;.418;2.4;6.8;.351;4.8;4.0;12.2
138;Jonas Valančiūnas;NOP;23.5;.559;0.5;1.5;.308;8.8;2.1;12.2
139;Buddy Hield;2TM;25.7;.436;2.6;6.8;.386;3.2;2.8;12.1
139;Buddy Hield;IND;25.7;.443;2.6;6.9;.384;3.2;2.7;12.0
139;Buddy Hield;PHI;25.8;.426;2.6;6.6;.389;3.2;3.0;12.2
140;Tyus Jones;WAS;29.3;.489;1.6;3.9;.414;2.7;7.3;12.0
141;Jaime Jaquez Jr.;MIA;28.2;.489;0.9;2.7;.322;3.8;2.6;11.9
142;Nic Claxton;BRK;29.8;.629;0.0;0.1;.200;9.9;2.1;11.8
143;Marvin Bagley III;2TM;21.1;.586;0.2;0.5;.391;6.2;1.1;11.7
143;Marvin Bagley III;DET;18.4;.591;0.0;0.2;.167;4.5;1.0;10.2
143;Marvin Bagley III;WAS;24.0;.581;0.3;0.7;.471;8.1;1.2;13.3
144;Ivica Zubac;LAC;26.4;.649;0.0;0.0;;9.2;1.4;11.7
145;Cole Anthony;ORL;22.4;.435;1.1;3.4;.338;3.8;2.9;11.6
146;Jeremy Sochan;SAS;29.6;.438;0.9;3.1;.308;6.4;3.4;11.6
147;Clint Capela;ATL;25.8;.571;0.0;0.0;.000;10.6;1.2;11.5
148;Mike Conley;MIN;28.9;.457;2.4;5.3;.442;2.9;5.9;11.4
149;Malik Beasley;MIL;29.6;.443;2.8;6.9;.413;3.7;1.4;11.3
150;Brandon Clarke;MEM;22.3;.559;0.2;1.0;.167;5.3;1.5;11.3
151;Zach Collins;SAS;22.1;.484;0.8;2.6;.320;5.4;2.8;11.2
152;De'Anthony Melton;PHI;26.9;.386;2.0;5.6;.360;3.7;3.0;11.1
153;Jakob Poeltl;TOR;26.4;.656;0.0;0.0;;8.6;2.5;11.1
154;Russell Westbrook;LAC;22.5;.454;0.6;2.3;.273;5.0;4.5;11.1
155;Daniel Gafford;2TM;24.5;.725;0.0;0.0;;7.6;1.6;11.0
155;Daniel Gafford;WAS;26.5;.690;0.0;0.0;;8.0;1.5;10.9
155;Daniel Gafford;DAL;21.5;.780;0.0;0.0;;6.9;1.6;11.2
156;Wendell Carter Jr.;ORL;25.6;.525;1.2;3.1;.374;6.9;1.7;11.0
157;Eric Gordon;PHO;27.8;.443;2.2;5.8;.378;1.8;2.0;11.0
158;Herbert Jones;NOP;30.5;.498;1.5;3.6;.418;3.6;2.6;11.0
159;Luke Kennard;MEM;25.6;.448;2.7;6.1;.450;2.9;3.5;11.0
160;Luguentz Dort;OKC;28.4;.438;2.0;5.0;.394;3.6;1.4;10.9
161;Jusuf Nurkić;PHO;27.3;.510;0.3;1.2;.244;11.0;4.0;10.9
162;Isaiah Stewart;DET;30.9;.487;1.5;3.8;.383;6.6;1.6;10.9
163;Moritz Wagner;ORL;17.7;.601;0.5;1.4;.330;4.3;1.2;10.9
164;Bruce Brown;2TM;27.9;.478;0.8;2.4;.323;4.2;2.9;10.8
164;Bruce Brown;IND;29.7;.475;1.0;3.1;.327;4.7;3.0;12.1
164;Bruce Brown;TOR;26.0;.481;0.6;1.9;.317;3.8;2.7;9.6
165;Jake LaRavia;MEM;23.0;.389;1.5;4.5;.340;3.7;1.7;10.8
166;Santi Aldama;MEM;26.5;.435;1.7;5.0;.349;5.8;2.3;10.7
